galaxy,line,frac8,flag,off_pb,off_mask
ngc253,H40a,0.051868840407359285," hdrpatch(73693px,r=1.00)",-0.76,0.39
ngc4826,H30a,0.18166861461057676," hdrpatch(18290px,r=0.91)",-0.26,0.43
eso097-013,H40a,0.509262316975914," hdrpatch(82006px,r=1.00)",-1.61,-1.43
ngc7130,H30a,0.08660886529812868," hdrpatch(13430px,r=1.00)",nan,
ngc4569,H30a,nan,nonpositive-flux,nan,
ngc4945,H30a,0.02187497804797505," hdrpatch(19910px,r=0.97)",-0.43,0.99
he2-10,H40a,0.344695677472357," hdrpatch(13141px,r=0.97)",-1.03,-0.46
ngc3628,H30a,0.15510398380264673," hdrpatch(89643px,r=0.97)",0.04,0.09
ngc1386,H30a,nan,no-8um,-0.62,
ngc6810,H30a,0.3337446916021524," hdrpatch(20524px,r=1.08)",-1.3,-0.71
ngc5253,H30a,0.3630647959253354," hdrpatch(15272px,r=0.92)",-1.08,-0.54
irasf18293-3413,H30a,0.4250741440155904," hdrpatch(55049px,r=0.94)",nan,
ic5063,H30a,0.437509702972037," hdrpatch(25314px,r=0.61) XCAL!",-1.42,-0.98
ngc5728,H30a,0.181851614930127," hdrpatch(14646px,r=1.04)",nan,
ngc7465,H40a,nan,no-8um,-1.54,
ngc5408,H30a,0.10364957257477735," hdrpatch(14498px,r=1.01)",-0.25,0.59
ic5179,H30a,0.08262658958341942," hdrpatch(15568px,r=1.00)",-3.33,-1.99
ngc1377,H30a,0.008964331065376476," hdrpatch(12800px,r=0.91)",-0.91,1.62
ngc5643,H30a,0.04480762929891626," hdrpatch(22659px,r=1.05)",nan,
ngc5248,H30a,0.013746438322866216,ok,nan,
ngc3227,H30a,0.0350350993858158, sat/NaN-in-mask,nan,
ngc7582,H30a,nan,no-8um,-1.44,
ic4687,H30a,0.06542052406643466," hdrpatch(19298px,r=1.00)",-1.21,-0.04
ngc7172,H30a,0.16798484473547057," hdrpatch(23717px,r=0.95)",-0.62,0.34
ngc5135,H30a,0.1996436496840309," hdrpatch(16016px,r=1.10) XCAL!",-2.1,-1.23
iras17208-0014,H30a,0.11197528094187227," hdrpatch(16071px,r=0.97)",-0.78,0.39
irasf19297-0406,H30a,0.8894761584339977," hdrpatch(15911px,r=0.97)",0.2,-0.65
ngc2369,H30a,0.3235325527992188," hdrpatch(13005px,r=1.01)",nan,
irasf05189-2524,H30a,0.48403146513541057," hdrpatch(13616px,r=0.56) XCAL!",-1.1,-0.72
ngc3256,H40a,0.19686159216952953," hdrpatch(22347px,r=0.91)",-1.81,-0.94
ngc1808,H40a,0.4529225951523616," hdrpatch(15287px,r=1.01)",-1.82,-1.39
iras09022-3615,H30a,0.46159852297323123," hdrpatch(13127px,r=0.98)",nan,
irasf14378-3651,H30a,0.36677980906743146," hdrpatch(15456px,r=1.02)",-0.49,0.04
iras07251-0248,H30a,0.3237126644142814," hdrpatch(16846px,r=0.94)",-1.42,-0.82
irasf12112+0305,H30a,0.0705677378231971," hdrpatch(13218px,r=0.89) XCAL!",nan,
ngc7469,H40a,0.038440037443975374," hdrpatch(510450px,r=nan)",-1.63,0.11
irasf14348-1447,H30a,0.3392850021808035," hdrpatch(14127px,r=0.87) XCAL!",-1.99,-1.41
ngc5128,H40a,0.0017673361662777038," hdrpatch(22324px,r=1.00)",-0.94,1.89
iras19542+1110,H30a,0.4229," hdrpatch(16987px,r=1.00)",,
