name,survey,ra_deg,dec_deg,z,logMstar,logSFR,distance_mpc
NGC0247,PHANGS-ALMA,11.785833,-20.760556,0.000496,9.53,-0.75,3.71
NGC0253,PHANGS-ALMA,11.887917,-25.288333,0.000785,10.64,0.7,3.7
NGC0300,PHANGS-ALMA,13.722917,-37.684444,0.000519,9.27,-0.82,2.09
NGC0628,PHANGS-ALMA,24.17375,15.783611,0.002171,10.34,0.24,9.84
NGC0685,PHANGS-ALMA,26.928333,-52.761944,0.004492,10.07,-0.38,19.94
NGC1068,PHANGS-ALMA,40.669583,-0.013333,0.00377,10.91,1.64,13.97
NGC1097,PHANGS-ALMA,41.57875,-30.274722,0.004195,10.76,0.68,13.58
NGC1087,PHANGS-ALMA,41.605,-0.498611,0.005008,9.94,0.11,15.85
NGC1313,PHANGS-ALMA,49.565417,-66.497778,0.001505,9.26,-0.14,4.32
NGC1300,PHANGS-ALMA,49.920833,-19.411111,0.005155,10.62,0.07,18.99
NGC1317,PHANGS-ALMA,50.684583,-37.103889,0.006439,10.62,-0.32,19.11
IC1954,PHANGS-ALMA,52.879583,-51.905,0.003466,9.67,-0.44,12.8
NGC1365,PHANGS-ALMA,53.401667,-36.140278,0.005381,11.0,1.24,19.57
NGC1385,PHANGS-ALMA,54.369167,-24.501111,0.004926,9.98,0.32,17.22
NGC1433,PHANGS-ALMA,55.50625,-47.221944,0.003527,10.87,0.05,18.63
NGC1511,PHANGS-ALMA,59.9025,-67.633889,0.00444,9.92,0.35,15.28
NGC1512,PHANGS-ALMA,60.975417,-43.348611,0.002907,10.72,0.11,18.83
NGC1546,PHANGS-ALMA,63.65125,-56.060833,0.004149,10.37,-0.08,17.69
NGC1559,PHANGS-ALMA,64.4025,-62.783333,0.004254,10.37,0.6,19.44
NGC1566,PHANGS-ALMA,65.001667,-54.938056,0.004948,10.79,0.66,17.69
NGC1637,PHANGS-ALMA,70.3675,-2.858056,0.002331,9.95,-0.2,11.7
NGC1672,PHANGS-ALMA,71.427083,-59.247222,0.004397,10.73,0.88,19.4
NGC1809,PHANGS-ALMA,75.520833,-69.568056,0.004304,9.77,0.76,19.95
NGC1792,PHANGS-ALMA,76.309583,-37.980556,0.003922,10.62,0.57,16.2
NGC2090,PHANGS-ALMA,86.757917,-34.250556,0.002996,10.04,-0.39,11.75
NGC2283,PHANGS-ALMA,101.47,-18.210833,0.002742,9.89,-0.28,13.68
NGC2566,PHANGS-ALMA,124.69,-25.499444,0.005369,10.71,0.93,23.44
NGC2775,PHANGS-ALMA,137.58375,7.038056,0.004467,11.07,-0.06,23.15
NGC2835,PHANGS-ALMA,139.470417,-22.354722,0.002893,10.0,0.1,12.22
NGC2903,PHANGS-ALMA,143.042083,21.500833,0.001825,10.64,0.49,10.0
NGC2997,PHANGS-ALMA,146.411667,-31.191111,0.003592,10.73,0.64,14.06
NGC3059,PHANGS-ALMA,147.534167,-73.922222,0.004125,10.38,0.38,20.23
NGC3137,PHANGS-ALMA,152.28125,-29.064167,0.003625,9.88,-0.3,16.37
NGC3239,PHANGS-ALMA,156.270417,17.163611,0.002496,9.18,-0.41,10.86
NGC3351,PHANGS-ALMA,160.990833,11.703611,0.002584,10.37,0.12,9.96
NGC3489,PHANGS-ALMA,165.0775,13.901111,0.002309,10.29,-1.59,11.86
NGC3511,PHANGS-ALMA,165.849167,-23.086667,0.003658,10.03,-0.09,13.94
NGC3507,PHANGS-ALMA,165.855833,18.135556,0.003234,10.4,0.0,23.55
NGC3521,PHANGS-ALMA,166.4525,-0.035833,0.002662,11.03,0.57,13.24
NGC3596,PHANGS-ALMA,168.775833,14.786944,0.003962,9.66,-0.52,11.3
NGC3599,PHANGS-ALMA,168.862083,18.110278,0.002791,10.04,-1.35,19.86
NGC3621,PHANGS-ALMA,169.567917,-32.8125,0.002416,10.06,0.0,7.06
NGC3626,PHANGS-ALMA,170.015833,18.356944,0.004906,10.46,-0.68,20.05
NGC3627,PHANGS-ALMA,170.0625,12.991389,0.002386,10.84,0.59,11.32
NGC4207,PHANGS-ALMA,183.876667,9.585,0.002023,9.72,-0.72,15.78
NGC4254,PHANGS-ALMA,184.706667,14.416667,0.007966,10.42,0.49,13.1
NGC4293,PHANGS-ALMA,185.303333,18.3825,0.003089,10.52,-0.3,15.76
NGC4298,PHANGS-ALMA,185.386667,14.606111,0.003796,10.04,-0.34,14.92
NGC4303,PHANGS-ALMA,185.47875,4.473611,0.005203,10.51,0.73,16.99
NGC4321,PHANGS-ALMA,185.72875,15.822222,0.005245,10.75,0.55,15.21
NGC4424,PHANGS-ALMA,186.798333,9.420556,0.001492,9.93,-0.53,16.2
NGC4457,PHANGS-ALMA,187.245833,3.570556,0.002955,10.42,-0.52,15.1
NGC4459,PHANGS-ALMA,187.25,13.978611,0.00397,10.68,-0.65,15.85
NGC4476,PHANGS-ALMA,187.49625,12.348611,0.006547,9.81,-1.39,17.54
NGC4477,PHANGS-ALMA,187.509167,13.636389,0.004544,10.59,-1.1,15.76
NGC4496A,PHANGS-ALMA,187.91375,3.939722,0.005743,9.55,-0.21,14.86
NGC4535,PHANGS-ALMA,188.584583,8.198056,0.006517,10.54,0.34,15.77
NGC4536,PHANGS-ALMA,188.612917,2.188333,0.005986,10.4,0.53,16.25
NGC4540,PHANGS-ALMA,188.712083,15.551667,0.004291,9.79,-0.78,15.76
NGC4548,PHANGS-ALMA,188.860417,14.496389,0.00161,10.7,-0.28,16.22
NGC4569,PHANGS-ALMA,189.2075,13.162778,-0.000753,10.81,0.12,15.76
