#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-22T21:01:16 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-22T21:01:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/257/43/galaxies&-out.max=150&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22570043
#Name: J/ApJS/257/43
#Title: PHANGS-ALMA: arcsecond CO(2-1) imaging of galaxies (Leroy+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apjs/257/43	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/257/43	    IVOID of underlying data collection
#INFO	creator=Leroy A.K.	    First author or institution
#INFO	cites=bibcode:2021ApJS..257...43L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/257/43	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22570043	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-06-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_257_43_galaxies:
#Name: J/ApJS/257/43/galaxies
#Title: PHANGS-ALMA physical properties and cube properties for the 90 star-forming galaxies (Tables 3, 4 and 16)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	X=Galaxy is an extension to the main sample	[ucd=meta.code]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	vlsr	(F6.1)	[-226/2389] Mean velocity relative to LSR (2)	[ucd=phys.veloc;pos.lsr]
#Column	e_vlsr	(F4.1)	[1.3/33.1] Uncertainty in vlsr (2)	[ucd=stat.error;phys.veloc;pos.lsr]
#Column	PA	(F5.1)	[-14.8/359.1] Orientation, position angle (2)	[ucd=pos.posAng]
#Column	e_PA	(F4.1)	[0.1/10] Uncertainty in PA (2)	[ucd=stat.error]
#Column	i	(F4.1)	[8.9/90] Orientation, inclination (2)	[ucd=pos.posAng]
#Column	e_i	(F4.1)	[0.2/43.4] Uncertainty in i (2)	[ucd=stat.error]
#Column	Dist	(F5.2)	[2/23.6] Distance	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	[0.09/6] Uncertainty in Dist	[ucd=stat.error]
#Column	r_Dist	(A5)	References for Dist (3)	[ucd=meta.ref;pos.frame]
#Column	logMstar	(F5.2)	[9.18/11.15] Log of stellar mass	[ucd=phys.mass]
#Column	f_logMstar	(A1)	Source for logMstar (4)	[ucd=meta.code]
#Column	r25	(F4.1)	[3.4/34.2] RC3 25th mag isophotal B-band radius (5)	[ucd=phys.size.radius]
#Column	Re	(F4.1)	[0.9/7.3] Estimated half-mass radius	[ucd=phys.size.radius]
#Column	lstar	(F4.1)	[0.7/13.1] Stellar scale length	[ucd=src.morph.scLength]
#Column	logSFR	(F5.2)	[-1.59/1.64] Log of star formation rate	[ucd=phys.SFR]
#Column	f_logSFR	(A6)	Source for logSFR (6)	[ucd=meta.code]
#Column	l_logLCO	(A1)	Upper limit flag for logLCO (7)	[ucd=meta.code.error]
#Column	logLCO	(F5.2)	[6.61/9.49]? Log of CO luminosity	[ucd=phys.luminosity;em.line.CO]
#Column	Corr	(F5.2)	[0.97/4.24]? Correction factor	[ucd=instr.param]
#Column	logMHI	(F5.2)	[7.4/10.31]? Log of HI mass	[ucd=phys.mass]
#Column	Arrays	(A9)	Best available array combination	[ucd=instr.param]
#Column	Res1	(F5.2)	[0.6/8.7] Angular resolution of native cube	[ucd=pos.angResolution]
#Column	Res2	(F5.1)	[26.2/588.6] Physical resolution	[ucd=pos.angResolution]
#Column	Area1	(F4.1)	[0.7/98.7] Angular area mapped	[ucd=phys.angArea]
#Column	Area2	(F5.1)	[8.1/396.8] Physical area mapped	[ucd=phys.area]
#Column	Noise1	(I3)	[18/366] Noise in surface brightness, Native resolution in mK	[ucd=stat.snr]
#Column	Noise2	(I3)	[13/114]? Noise in surface brightness, 150pc	[ucd=stat.snr]
#Column	Noise3	(F5.1)	[1.3/128.1] Noise in surface brightness, Native resolution in mJy/beam	[ucd=instr.det.noise]
#Column	Comp1	(F4.1)	[1.7/97] Completeness, Native resolution (8)	[ucd=meta.note]
#Column	f_Comp1	(A1)	F=Faint galaxy, completeness is unreliable	[ucd=meta.code]
#Column	Comp2	(F5.1)	[0.9/180]? Completeness, 150pc (8)	[ucd=meta.note]
#Column	f_Comp2	(A1)	F=Faint galaxy, completeness is unreliable	[ucd=meta.code]
#Column	S4G	(I3)	Display data from Sheth+, 2010, J/PASP/122/1397	[ucd=meta.ref.url]
#Column	L19	(I3)	Display data from Leroy+, 2019, J/ApJS/244/24	[ucd=meta.ref.url]
#Column	Ntot	(I3)	Number of total power observations for this target (link to Table 11)	[ucd=meta.number]
#Column	N7m	(I3)	Number of 7m observations for this target (link to Table 12)	[ucd=meta.number]
#Column	N12m	(I3)	Number of 12m observations for this target (link to Table 13)	[ucd=meta.number]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
recno	Name	f_Name	RAJ2000	DEJ2000	vlsr	e_vlsr	PA	e_PA	i	e_i	Dist	e_Dist	r_Dist	logMstar	f_logMstar	r25	Re	lstar	logSFR	f_logSFR	l_logLCO	logLCO	Corr	logMHI	Arrays	Res1	Res2	Area1	Area2	Noise1	Noise2	Noise3	Comp1	f_Comp1	Comp2	f_Comp2	S4G	L19	Ntot	N7m	N12m	Simbad	NED	LEDA
 	 	 	"h:m:s"	"d:m:s"	km/s	km/s	deg	deg	deg	deg	Mpc	Mpc	 	[Msun]	 	kpc	kpc	kpc	[Msun/yr]	 	 	[K.km/s.pc2]	 	[Msun]	 	arcsec	pc	arcsec2	kpc2	mK	mK	mJy/beam	%	 	%	 	 	 	 	 	 	 	 	
--------	----------	-	----------	---------	------	----	-----	----	----	----	-----	-----	-----	-----	-	----	----	----	-----	------	-	-----	-----	-----	---------	-----	-----	----	-----	---	---	-----	----	-	-----	-	---	---	---	---	---	------	---	----
       1	NGC0247   	X	00 47 08.6	-20 45 38	 148.8	 1.6	167.4	10.0	76.4	 5.0	 3.71	 0.13	    6	 9.53	I	10.6	 5.0	 3.3	-0.75	FUVW4 	 	 6.79	 1.42	 9.24	7m+TP    	 8.51	153.1	80.7	 93.9	 23	 23	 73.9	 7.2	 	  7.2	 	  0	  1	 15	  8	  0	Simbad	NED	LEDA
       2	NGC0253   	X	00 47 33.1	-25 17 18	 235.4	 2.4	 52.5	10.0	75.0	 5.0	 3.70	 0.12	    6	10.64	I	14.4	 4.7	 2.8	 0.70	FUVW4 	 	 8.96	 1.00	 9.33	7m+TP    	 8.37	150.2	98.7	114.4	 36	 36	108.2	85.8	 	 85.8	 	  0	  1	  9	  5	  0	Simbad	NED	LEDA
       3	NGC0300   	X	00 54 53.5	-37 41 04	 155.5	 7.3	114.3	10.0	39.8	 5.0	 2.09	 0.09	    6	 9.27	I	 5.9	 2.0	 1.3	-0.82	FUVW4 	 	 6.61	 1.50	 9.32	7m+TP    	 8.18	 82.8	57.0	 21.1	 35	 13	100.4	36.7	 	 51.3	 	  0	  1	  4	  4	  0	Simbad	NED	LEDA
       4	NGC0628   	 	01 36 41.7	+15 47 01	 650.8	 5.0	 20.7	 1.0	 8.9	12.2	 9.84	 0.63	    6	10.34	I	14.1	 3.9	 2.9	 0.24	FUVW4 	 	 8.41	 1.73	 9.70	12m+7m+TP	 1.12	 53.5	14.7	120.7	115	 41	  6.3	44.7	 	 64.5	 	  1	  1	 24	 10	  8	Simbad	NED	LEDA
       5	NGC0685   	 	01 47 42.8	-52 45 43	1346.6	 5.0	100.9	 2.8	23.0	43.4	19.94	 3.01	  3,4	10.07	I	 8.7	 5.0	 3.1	-0.38	W4ONLY	 	 7.87	 1.25	 9.57	12m+7m+TP	 1.69	163.0	 4.8	162.4	 40	 40	  4.8	36.5	 	 36.5	 	  1	  1	  8	  3	  2	Simbad	NED	LEDA
       6	NGC1068   	X	02 42 40.7	-00 00 48	1130.1	 6.4	 72.7	10.0	34.7	 5.0	13.97	 2.11	  3,4	10.91	I	12.4	 0.9	 7.3	 1.64	FUVW4 	 	 9.23	 1.30	 9.06	7m+TP    	 8.69	588.6	 6.5	106.6	 18	   	 58.9	96.6	 	     	 	  1	  1	  0	  2	  0	Simbad	NED	LEDA
       7	NGC1097   	 	02 46 18.9	-30 16 29	1257.5	 5.0	122.4	 3.6	48.6	 6.0	13.58	 2.05	  3,4	10.76	I	20.9	 2.6	 4.3	 0.68	FUVW4 	 	 8.93	 1.31	 9.61	12m+7m+TP	 1.70	111.7	13.4	208.7	 52	 37	  6.4	79.9	 	 82.7	 	  1	  1	 22	 12	  4	Simbad	NED	LEDA
       8	NGC1087   	 	02 46 25.2	-00 29 55	1501.5	 5.0	359.1	 1.2	42.9	 3.9	15.85	 2.22	    7	 9.94	I	 6.9	 3.2	 2.1	 0.11	FUVW4 	 	 8.32	 1.06	 9.10	12m+7m+TP	 1.60	123.1	 6.8	145.4	 66	 52	  7.3	64.7	 	 67.5	 	  1	  1	 15	  3	  1	Simbad	NED	LEDA
       9	NGC1313   	X	03 18 15.7	-66 29 52	 451.2	 7.2	 23.4	10.0	34.8	 5.0	 4.32	 0.17	    6	 9.26	I	 7.0	 2.5	 2.1	-0.14	FUVW4 	 	     	     	 9.28	7m       	 7.93	166.0	55.7	 88.0	 28	 28	 75.0	11.6	 	 11.6	 	  0	  1	 10	  3	  0	Simbad	NED	LEDA
      10	NGC1300   	 	03 19 41.0	-19 24 40	1545.4	 5.0	278.0	 1.0	31.8	 6.0	18.99	 2.86	  3,4	10.62	I	16.4	 6.5	 3.7	 0.07	FUVW4 	 	 8.50	 1.28	 9.38	12m+7m+TP	 1.23	113.1	13.0	396.8	102	 76	  6.6	48.5	 	 52.4	 	  1	  1	 20	  6	  3	Simbad	NED	LEDA
      11	NGC1317   	 	03 22 44.3	-37 06 14	1930.5	 5.0	221.5	 2.9	23.2	 7.5	19.11	 0.85	    6	10.62	W	 8.5	 1.8	 2.4	-0.32	FUVW4 	 	 8.10	 1.28	     	12m+7m+TP	 1.59	147.1	 1.7	 52.1	 46	 46	  4.9	89.2	 	 90.0	 	  0	  1	  2	  1	  2	Simbad	NED	LEDA
      12	IC1954    	 	03 31 31.1	-51 54 18	1039.1	 5.0	 63.4	 0.2	57.1	 0.7	12.80	 2.17	2,3,4	 9.67	I	 5.6	 2.4	 1.5	-0.44	FUVW4 	 	 7.78	 1.10	 8.85	12m+7m+TP	 1.56	 97.1	 4.0	 55.6	 45	 27	  4.7	64.1	 	 70.7	 	  0	  1	  7	  3	  1	Simbad	NED	LEDA
      13	NGC1365   	 	03 33 36.4	-36 08 25	1613.3	 5.0	201.1	 7.5	55.4	 6.0	19.57	 0.78	    6	11.00	I	34.2	 2.8	13.1	 1.24	FUVW4 	 	 9.49	 1.36	 9.94	12m+7m+TP	 1.38	130.8	 7.3	237.2	112	 95	  9.1	75.3	 	 76.4	 	  1	  1	  0	  2	  3	Simbad	NED	LEDA
      14	NGC1385   	 	03 37 28.6	-24 30 04	1476.8	 5.0	181.3	 4.8	44.0	 7.6	17.22	 2.60	  3,4	 9.98	I	 8.5	 3.4	 2.6	 0.32	FUVW4 	 	 8.37	 1.09	 9.19	12m+7m+TP	 1.27	105.9	 6.8	171.3	 82	 55	  5.7	60.9	 	 65.5	 	  0	  0	 11	  3	  2	Simbad	NED	LEDA
