name,survey,z,logMstar,logSFR,distance_mpc,hrl_line,strong_line,project_id,mousid,sens_10kms_mJy,ang_res_arcsec,pointing_ra,pointing_dec,predicted_sn_log
NGC0253,PHANGS-ALMA,0.000785,10.64,0.7,3.7,H30a,CO21,2012.1.00789.S,uid://A002/X5d7935/X398,0.46967786413161633,0.41776488162513514,11.888208333333333,-25.288166666666665,-0.108
NGC0253,PHANGS-ALMA,0.000785,10.64,0.7,3.7,H30a,CO21,2018.1.00765.S,uid://A001/X133d/X1561,0.49634230012555935,0.1378110746551504,11.888672770208803,-25.28824444317649,-0.132
NGC1068,PHANGS-ALMA,0.00377,10.91,1.64,13.97,H30a,CO21,2016.1.00232.S,uid://A001/X879/X2d7,0.3894077919082555,0.03414454976972986,40.66987874994658,-0.013289000000016187,-0.241
NGC1068,PHANGS-ALMA,0.00377,10.91,1.64,13.97,H30a,CO21,2016.1.00232.S,uid://A001/X879/X2d9,0.507678575304197,0.29024866284441286,40.66987874994682,-0.013289000000025003,-0.356
NGC0253,PHANGS-ALMA,0.000785,10.64,0.7,3.7,H30a,CO21,2013.1.00191.S,uid://A001/X12e/X1de,0.9306278558728331,0.21772962362699755,11.88708438052007,-25.290225322383737,-0.405
ESO097-013,PHANGS-ALMA,0.001435,10.53,0.61,4.2,H30a,CO21,2024.1.00211.S,uid://A001/X3788/Xae3f,0.6722194261796588,0.2940318289803085,213.29145833331808,-65.33922222222296,-0.464
NGC0253,PHANGS-ALMA,0.000785,10.64,0.7,3.7,H30a,CO21,2017.1.00161.L,uid://A001/X1284/Xf59,1.1259158653414847,1.1546551743949802,11.888775738713205,-25.288444124120705,-0.488
NGC0253,PHANGS-ALMA,0.000785,10.64,0.7,3.7,H30a,CO21,2013.1.00191.S,uid://A001/X12e/X1d8,1.8080931248065175,1.0560148167344026,11.893375154802476,-25.290810556706113,-0.694
NGC1068,PHANGS-ALMA,0.00377,10.91,1.64,13.97,H30a,CO21,2013.1.00111.S,uid://A001/X122/X13,1.128124797685819,0.21148679256622321,40.669879,-0.013289,-0.703
NGC4945,PHANGS-ALMA,0.001866,10.36,0.19,3.47,H30a,CO21,2016.1.01279.S,uid://A001/X888/X7a,1.1211983724410615,0.4732341623907316,196.36174784975034,-49.46743508883367,-0.94
