name,survey,z,logMstar,logSFR,distance_mpc,hrl_line,strong_line,project_id,mousid,sens_10kms_mJy,ang_res_arcsec,pointing_ra,pointing_dec,predicted_sn_log,tier
ESO097-013,PHANGS-ALMA,0.001435,10.53,0.61,4.2,H30a,CO21,2024.1.00211.S,uid://A001/X3788/Xae3f,0.6722194261796588,0.2940318289803085,213.29145833331808,-65.33922222222296,-0.464,ASDM|MS
NGC5248,PHANGS-ALMA,0.003879,10.41,0.36,14.87,H30a,CO21,2017.1.00277.S,uid://A001/X1296/Xdef,0.7500049283984461,0.06611019596484771,204.3836208333133,8.885061111110371,-1.86,ASDM|FITS|MS
NGC0300,PHANGS-ALMA,0.000519,9.27,-0.82,2.09,H30a,CO21,2013.1.00586.S,uid://A001/X13e/X151,3.363243417579543,0.9542564213998467,13.713125,-37.682861111111116,-1.987,ASDM|FITS|MS
NGC1313,PHANGS-ALMA,0.001505,9.26,-0.14,4.32,H30a,CO21,2015.1.00782.S,uid://A001/X2f7/X221,4.084071648695001,0.38335871633849583,49.62474767774309,-66.4848163383759,-2.022,ASDM|FITS|MS
NGC6744,PHANGS-ALMA,0.002776,10.72,0.38,9.39,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2d7,5.8128491978276795,0.8379005903105694,287.44207919999695,-63.826978108630655,-2.33,ASDM|FITS|MS
NGC4569,PHANGS-ALMA,-0.000753,10.81,0.12,15.76,H30a,CO21,2018.1.00517.S,uid://A001/X133d/Xdc2,1.224853262976415,1.1902768023379757,189.2075666666572,13.162869444440311,-2.363,ASDM|FITS|MS
NGC4254,PHANGS-ALMA,0.007966,10.42,0.49,13.1,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2a5,5.314439502952382,1.167719862888646,184.71250676447022,14.40821300594851,-2.47,ASDM|FITS|MS
NGC7793,PHANGS-ALMA,0.000741,9.36,-0.57,3.62,H30a,CO21,2015.1.00782.S,uid://A001/X2f7/X21d,6.217277122022827,0.48931246180697435,359.4486538257026,-32.589205242983745,-2.481,ASDM|FITS|MS
NGC1566,PHANGS-ALMA,0.004948,10.79,0.66,17.69,H30a,CO21,2017.1.00392.S,uid://A001/X12d1/X118,4.846013473206131,0.8264307021174955,65.00174580005654,-54.953084287421724,-2.521,ASDM|FITS|MS
NGC4303,PHANGS-ALMA,0.005203,10.51,0.73,16.99,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2af,6.3442914308533,1.070187490681215,185.47895829999987,4.473588899999999,-2.533,ASDM|FITS|MS
NGC1672,PHANGS-ALMA,0.004397,10.73,0.88,19.4,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X273,7.0977680056794235,1.1810555980201232,71.42866966821363,-59.24408545648518,-2.547,ASDM|FITS|MS
NGC4321,PHANGS-ALMA,0.005245,10.75,0.55,15.21,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2c3,5.663813058095915,0.8247324761182849,185.72585881043787,15.809879848711033,-2.567,ASDM|FITS|MS
NGC0628,PHANGS-ALMA,0.002171,10.34,0.24,9.84,H30a,CO21,2012.1.00650.S,uid://A002/X5a9a13/X57b,7.543523194943539,0.5397027742385828,24.17330572806446,15.782979282287616,-2.624,ASDM|MS
NGC3351,PHANGS-ALMA,0.002584,10.37,0.12,9.96,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X27d,7.448400987676916,1.0910745910311455,160.9905541999999,11.703611100000002,-2.749,ERR:RuntimeError
NGC4535,PHANGS-ALMA,0.006517,10.54,0.34,15.77,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X2cd,6.317201157356988,1.0975687570186752,188.5836700296678,8.193746764125136,-2.856,ASDM|FITS|MS
NGC4579,PHANGS-ALMA,0.005059,11.15,0.33,21.0,H30a,CO21,2012.1.00139.S,uid://A002/X5a9a13/Xe9,3.495782620843862,0.5399681197983902,189.431362,11.818183,-2.858,ASDM|MS
NGC4826,PHANGS-ALMA,0.001367,10.24,-0.69,4.41,H30a,CO21,2016.2.00053.S,uid://A001/X124a/X1b4,8.732387287161139,5.053098358423139,194.18206666667342,21.682658333330036,-2.92,ASDM|FITS|MS
NGC1385,PHANGS-ALMA,0.004926,9.98,0.32,17.22,H30a,CO21,2018.1.01651.S,uid://A001/X136d/X134,6.599855016059735,0.684712209002108,54.37106516400722,-24.501277379104327,-2.972,ASDM|FITS|MS
NGC1087,PHANGS-ALMA,0.005008,9.94,0.11,15.85,H30a,CO21,2017.1.00392.S,uid://A001/X12d1/Xf8,5.336711416058304,0.9762131113470044,41.60488749994732,-0.49870279254689187,-3.017,ASDM|FITS|MS
NGC4459,PHANGS-ALMA,0.00397,10.68,-0.65,15.85,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X64a,0.9813434350183223,0.5188367272657753,187.25004651460955,13.978891557513665,-3.042,ASDM|FITS|MS
NGC1433,PHANGS-ALMA,0.003527,10.87,0.05,18.63,H30a,CO21,2017.1.00392.S,uid://A001/X12d1/X10c,4.931418487650027,0.7434763530903273,55.52896595774345,-47.22207747594762,-3.183,ASDM|FITS|MS
NGC1300,PHANGS-ALMA,0.005155,10.62,0.07,18.99,H30a,CO21,2018.1.01651.S,uid://A001/X136d/X140,5.300663479664298,0.6803863460067756,49.90489776653345,-19.411360025349317,-3.211,ASDM|MS
NGC1512,PHANGS-ALMA,0.002907,10.72,0.11,18.83,H30a,CO21,2018.1.01651.S,uid://A001/X136d/X138,6.423675664634658,0.7140556845191811,60.97616971568141,-43.34884890083904,-3.247,ASDM|FITS|MS
NGC7743,PHANGS-ALMA,0.005628,10.36,-0.67,20.32,H30a,CO21,2017.1.00766.S,uid://A001/X1273/X66e,0.9730367527005073,0.5169772473956983,356.0880416666186,9.93404165816815,-3.274,ASDM|FITS|MS
