galaxy,z,weak_line,strong_line,strong_path,strong_kind,hrl_path,window_kms,pb_mult,hrl_beam,tracer_beam,same_cube,member,flag
irasf05189-2524,0.04275,H30a,CO21,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF05189-2524/IRASF05189-2524_CO21_pbcor.fits,pbcor+pbmult,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF05189-2524/IRASF05189-2524_H30a_pbcor.fits,300.0,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF05189-2524/IRASF05189-2524_CO21_pbplane.fits,0.633,0.64,False,d___A001_X133d_X142d,
iras09022-3615,0.05964,H30a,CO21,/Volumes/HouAstro/master/master_thesis/work_dir/IRAS09022-3615/IRAS09022-3615_CO21_pbcor.fits,pbcor+pbmult,/Volumes/HouAstro/master/master_thesis/work_dir/IRAS09022-3615/IRAS09022-3615_H30a_pbcor.fits,300.0,/Volumes/HouAstro/master/master_thesis/work_dir/IRAS09022-3615/IRAS09022-3615_CO21_pbplane.fits,0.415,0.404,False,d___A001_X133d_X1431,
irasf14378-3651,0.06819,H30a,CO21,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF14378-3651/IRASF14378-3651_CO21_pbcor.fits,pbcor+pbmult,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF14378-3651/IRASF14378-3651_H30a_pbcor.fits,300.0,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF14378-3651/IRASF14378-3651_CO21_pbplane.fits,0.49,0.487,False,d___A001_X133d_X143d,
irasf19297-0406,0.08573,H30a,CO21,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF19297-0406/IRASF19297-0406_CO21_pbcor.fits,pbcor+pbmult,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF19297-0406/IRASF19297-0406_H30a_pbcor.fits,300.0,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF19297-0406/IRASF19297-0406_CO21_pbplane.fits,7.799,7.822,False,uid___A001_X14c3_Xfc,
iras07251-0248,0.08758,H30a,CO21,/Volumes/HouAstro/master/master_thesis/work_dir/IRAS07251-0248/IRAS07251-0248_CO21_pbcor.fits,pbcor+pbmult,/Volumes/HouAstro/master/master_thesis/work_dir/IRAS07251-0248/IRAS07251-0248_H30a_pbcor.fits,300.0,/Volumes/HouAstro/master/master_thesis/work_dir/IRAS07251-0248/IRAS07251-0248_CO21_pbplane.fits,0.302,0.35,False,uid___A001_X135b_X79,
irasf12112+0305,0.07268,H30a,CO21,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF12112+0305/IRASF12112+0305_CO21_pbcor.fits,pbcor+pbmult,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF12112+0305/IRASF12112+0305_H30a_pbcor.fits,300.0,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF12112+0305/IRASF12112+0305_CO21_pbplane.fits,0.333,0.337,False,uid___A001_X879_X1e2,
ngc2369,0.0108,H30a,CO21,/Volumes/HouAstro/master/master_thesis/work_dir/NGC2369/NGC2369_CO21_pbcor.fits,pbcor+pbmult,/Volumes/HouAstro/master/master_thesis/work_dir/NGC2369/NGC2369_H30a_pbcor.fits,300.0,/Volumes/HouAstro/master/master_thesis/work_dir/NGC2369/NGC2369_CO21_pbplane.fits,1.012,1.014,False,d___A001_X1284_X136d,
irasf14348-1447,0.08247,H30a,CO21,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF14348-1447/IRASF14348-1447_CO21_pbcor.fits,pbcor+pbmult,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF14348-1447/IRASF14348-1447_H30a_pbcor.fits,300.0,/Volumes/HouAstro/master/master_thesis/work_dir/IRASF14348-1447/IRASF14348-1447_CO21_pbplane.fits,0.315,0.319,False,uid___A001_X879_X1e6,
ngc5128,0.00187,H40a,CS21,/Volumes/HouAstro/master/master_thesis/work_dir/NGC5128/NGC5128_CS21_pbcor.fits,pbcor+pbmult,/Volumes/HouAstro/master/master_thesis/work_dir/NGC5128/NGC5128_H40a_pbcor.fits,300.0,/Volumes/HouAstro/master/master_thesis/work_dir/NGC5128/NGC5128_CS21_pbplane.fits,0.69,0.69,True,id___A001_X1296_Xa37,
ngc7469,0.01642,H40a,CS21,/Volumes/HouAstro/master/master_thesis/work_dir/NGC7469/NGC7469_CS21_pbcor.fits,pbcor+pbmult,/Volumes/HouAstro/master/master_thesis/work_dir/NGC7469/NGC7469_H40a_pbcor.fits,300.0,/Volumes/HouAstro/master/master_thesis/work_dir/NGC7469/NGC7469_CS21_pbplane.fits,0.601,0.609,False,uid___A001_X122_X4cc,
