galaxy,D_Mpc,method,n_meas,refcode,dist_flag
eso097-013,4.21,Tully-Fisher,2,2013AJ....145..101K,literature
he2-10,8.23,TRGB,1,2013AJ....146...86T,literature
ic5063,37.5,Tully-Fisher,1,2007A&amp;A...465...71T,literature
ic5179,45.25,SNIa,14,2014ApJ...795...44R,literature
ngc1377,21.0,Tully-Fisher,1,2007A&amp;A...465...71T,literature
ngc1386,15.9,SBF,3,2013AJ....146...86T,literature
ngc1808,9.08,Tully-Fisher,11,2016AJ....152...50T,literature
ngc2369,33.7,Tully-Fisher,7,2016AJ....152...50T,literature
ngc253,3.46,TRGB,8,2011ApJS..195...18R,literature
ngc3227,15.2,Tully-Fisher,5,2015AstBu..70....1K,literature
ngc3256,37.4,Tully est,1,1988NBGC.C....0000T,literature
ngc3628,9.7,Tully-Fisher,21,2016AJ....152...50T,literature
ngc4569,17.0,TRGB,1,2014ApJ...782....4K,literature
ngc4826,4.96,TRGB,2,2009AJ....138..332J,literature
ngc4945,3.65,TRGB,4,2016MNRAS.457.1419M,literature
ngc5128,3.78,TRGB,17,2016ApJ...823...19C,literature
ngc5248,11.8,Tully-Fisher,17,2016AJ....152...50T,literature
ngc5253,3.52,TRGB,6,2018ApJS..235...23S,literature
ngc5408,4.9,TRGB,3,2013AJ....146...86T,literature
ngc5643,10.45,Tully-Fisher,8,1988NBGC.C....0000T,literature
ngc5728,39.0,SNIa,1,2014ApJ...795...44R,literature
ngc6810,28.6,Tully-Fisher,11,2013AJ....146...86T,literature
ngc7172,33.9,Tully est,1,1988NBGC.C....0000T,literature
ngc7465,27.5,Tully-Fisher,1,1984A&amp;AS...56..381B,literature
ngc7582,22.35,Tully-Fisher,4,2013AJ....146...86T,literature
