galaxy,rel_fir
eso097-013,0.0471
he2-10,0.0587
ic4687,0.0611
ic5063,0.0468
ic5179,0.0546
iras17208-0014,0.0841
irasf18293-3413,0.0722
ngc1313,0.1182
ngc1377,0.0458
ngc1386,0.0405
ngc253,0.035
ngc2903,0.0543
ngc3227,0.0552
ngc3627,0.1058
ngc3628,0.0755
ngc4569,0.0818
ngc4826,0.0962
ngc4945,0.0359
ngc5135,0.0737
ngc5236,0.0575
ngc5248,0.0733
ngc5253,0.0497
ngc5408,0.0441
ngc5643,0.0606
ngc5728,0.0672
ngc6810,0.0465
ngc7130,0.0555
ngc7172,0.0607
ngc7465,0.0696
ngc7582,0.0838
ngc7793,0.105
irasf05189-2524,0.0381
iras09022-3615,0.0547
irasf14378-3651,0.062
irasf19297-0406,0.0637
iras07251-0248,0.055
irasf12112+0305,0.0703
ngc2369,0.0555
irasf14348-1447,0.0566
ngc5128,0.0486
ngc7469,0.0807
ngc3256,0.0723
ngc1808,0.0464
ngc55,0.0887
iras19542+1110,0.0564
