galaxy,line,tier,F_Jykms,sigma_F,SN,W_kms,dv_native_kms,mask_area_beams,mask_area_arcsec2,rms_chan_mJy,rms10_mJy,ir_R90_arcsec,ir_size_source,coverage
ngc253,H40a,detected,4.4389,0.1483,29.93,264.7,1.5,417.1,392.2,7.436,2.882,195.3,WISE W4 CoG (SB-truncated),partial
ngc4945,H30a,detected,8.6669,0.565,15.34,386.8,10.15,266.8,93.3,9.019,9.085,252.7,WISE W4 CoG (SB-truncated),partial
ngc3628,H30a,marginal,1.5165,0.22,6.89,327.3,1.27,120.2,175.7,10.797,3.845,203.8,WISE W3 CoG (SB-truncated),partial
he2-10,H40a,marginal,0.1931,0.0351,5.5,100.0,6.04,22.7,94.2,1.428,1.11,79.8,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
eso097-013,H40a,marginal,0.4928,0.0952,5.17,299.2,12.0,79.1,557.6,1.589,1.74,139.3,WISE W4 CoG (SB-truncated),partial
ngc4826,H30a,upper-limit,1.9567,0.4738,4.13,302.7,20.25,6.1,246.8,6.052,8.612,87.3,WISE W4 CoG (SB-truncated),partial
ngc3256,H40a,upper-limit,0.2685,0.1112,2.42,185.5,24.08,118.3,50.9,1.664,2.582,81.1,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
irasf19297-0406,H30a,upper-limit,1.4381,0.5966,2.41,499.2,1.37,4.8,283.8,22.773,8.444,288.3,WISE W3 CoG (SB-truncated),partial
ngc5253,H30a,upper-limit,0.4914,0.2126,2.31,100.0,1.27,65.1,108.2,18.871,6.723,80.7,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
iras17208-0014,H30a,upper-limit,4.0282,1.7665,2.28,641.0,10.55,909.6,10.5,21.477,22.064,86.9,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc7469,H40a,upper-limit,0.1368,0.0642,2.13,315.8,6.06,30.1,9.7,1.468,1.142,87.6,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
irasf05189-2524,H30a,upper-limit,0.8306,0.4146,2.0,294.0,5.28,99.4,38.4,10.527,7.646,67.7,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc5408,H30a,upper-limit,0.0643,0.0328,1.96,100.0,1.27,17.9,8.0,2.914,1.037,44.0,WISE W4 CoG (SB-truncated),partial
irasf14378-3651,H30a,upper-limit,1.2805,0.6567,1.95,317.4,5.41,103.0,19.9,15.855,11.656,56.4,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ic4687,H30a,upper-limit,0.2084,0.1209,1.72,287.5,20.57,136.7,13.9,1.572,2.255,99.9,WISE W4 CoG (SB-truncated),partial
ngc7582,H30a,upper-limit,0.5103,0.3371,1.51,378.0,5.1,531.9,11.6,7.681,5.483,90.0,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
iras07251-0248,H30a,upper-limit,0.316,0.2722,1.16,535.9,5.5,127.5,11.7,5.013,3.718,33.6,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc1377,H30a,upper-limit,0.1916,0.1647,1.16,135.4,2.55,310.9,0.6,8.864,4.476,76.1,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc7172,H30a,upper-limit,0.3978,0.377,1.06,622.6,10.21,742.2,11.1,4.73,4.778,54.6,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc1808,H40a,upper-limit,0.0957,0.1104,0.87,347.8,2.98,61.2,283.1,3.429,1.872,93.0,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc6810,H30a,upper-limit,0.2683,0.3919,0.68,337.6,10.19,448.1,146.8,6.68,6.745,96.2,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc1386,H30a,upper-limit,0.2627,0.4425,0.59,305.7,10.16,332.6,75.8,7.94,8.003,83.4,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc5135,H30a,upper-limit,0.0527,0.134,0.39,175.1,20.55,473.2,22.9,2.234,3.202,56.5,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ic5063,H30a,upper-limit,0.1726,0.4845,0.36,421.3,10.24,136.2,24.3,7.376,7.464,70.6,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
iras19542+1110,H30a,upper-limit,0.216,0.627,0.34,421.1,5.38,144.9,28.2,13.175,9.662,37.4,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc7465,H40a,upper-limit,0.006,0.0295,0.2,317.2,6.01,7.7,11.2,0.676,0.524,157.1,WISE W4 CoG (SB-truncated),partial
irasf14348-1447,H30a,upper-limit,0.0249,0.1356,0.18,404.2,1.36,144.7,14.2,5.787,2.133,37.4,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ic5179,H30a,upper-limit,-0.0167,0.4763,-0.04,313.4,5.12,415.0,46.5,11.893,8.508,102.7,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc5643,H30a,upper-limit,-0.1067,0.409,-0.26,168.3,5.09,935.6,25.1,13.976,9.97,95.9,WISE W4 CoG (SB-truncated),partial
irasf18293-3413,H30a,upper-limit,-0.1718,0.3843,-0.45,377.6,10.33,478.0,40.0,6.154,6.254,80.2,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc7130,H30a,upper-limit,-0.0933,0.1868,-0.5,160.0,10.31,151.0,40.8,4.6,4.67,88.8,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
iras09022-3615,H30a,upper-limit,-0.2286,0.3697,-0.62,597.5,5.36,177.0,31.0,6.531,4.783,30.3,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
irasf12112+0305,H30a,upper-limit,-0.3041,0.4037,-0.75,517.7,1.35,236.9,24.5,15.292,5.611,249.5,WISE W4 CoG (SB-truncated),partial
ngc5728,H30a,upper-limit,-0.2178,0.2112,-1.03,320.4,20.26,173.3,53.9,2.621,3.731,121.6,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc3227,H30a,upper-limit,-1.697,0.9787,-1.73,316.1,5.09,1171.2,17.3,24.405,17.408,107.8,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc5248,H30a,upper-limit,-0.7307,0.3902,-1.87,147.9,20.3,256.0,24.0,7.121,10.146,122.0,WISE W4 CoG (SB-truncated),partial
ngc4569,H30a,upper-limit,-0.3981,0.1706,-2.33,305.8,20.21,87.5,135.3,2.17,3.085,88.7,WISE W4 CoG (SB-truncated),partial
ngc2369,H30a,upper-limit,-1.5092,0.5042,-2.99,503.2,5.11,103.8,109.5,9.939,7.108,50.1,WISE W3 CoG — unresolved (≤ Atlas PSF),covered-unresolved
ngc5128,,review,nan,nan,nan,nan,3.02,29.4,13.9,,,163.5,WISE W4 CoG (SB-truncated),partial
