galaxy,line,tier,D_Mpc,dist,f8_percent,log_Ltir_ap,log_n6Lhrl_or_3sig
irasf19297-0406,H30a,ul,367.2,cz/H0-provisional,88.9,12.34,13.77
iras09022-3615,H30a,ul,255.4,cz/H0-provisional,46.2,11.93,13.26
iras07251-0248,H30a,ul,375.1,cz/H0-provisional,32.4,11.85,13.45
irasf14348-1447,H30a,ul,353.2,cz/H0-provisional,33.9,11.84,13.09
irasf05189-2524,H30a,ul,183.1,cz/H0-provisional,48.4,11.83,13.02
irasf14378-3651,H30a,ul,292.0,cz/H0-provisional,36.7,11.73,13.62
iras19542+1110,H30a,ul,269.1,cz/H0-provisional,42.3,11.67,13.53
iras17208-0014,H30a,ul,183.3,cz/H0-provisional,11.2,11.44,13.65
irasf18293-3413,H30a,ul,77.8,cz/H0-provisional,42.5,11.42,12.26
irasf12112+0305,H30a,ul,311.3,cz/H0-provisional,7.1,11.13,13.46
ngc3256,H40a,ul,37.4,literature,19.7,10.90,11.47
ngc5135,H30a,ul,58.6,cz/H0-provisional,20.0,10.57,11.56
ngc2369,H30a,ul,33.7,literature,32.4,10.37,11.65
ngc7130,H30a,ul,69.2,cz/H0-provisional,8.7,10.31,11.84
ic5063,H30a,ul,37.5,literature,43.8,10.28,11.73
ngc6810,H30a,ul,28.6,literature,33.4,10.25,11.40
ic4687,H30a,ul,74.3,cz/H0-provisional,6.5,10.24,11.72
ngc7469,H40a,ul,70.3,cz/H0-provisional,3.8,10.23,11.77
ngc1808,H40a,ul,9.1,literature,45.3,10.08,10.24
ic5179,H30a,ul,45.2,literature,8.3,10.04,11.88
eso097-013,H40a,marg,4.2,literature,50.9,9.90,9.57
ngc5728,H30a,ul,39.0,literature,18.2,9.86,11.40
ngc7172,H30a,ul,33.9,literature,16.8,9.61,11.53
ngc3628,H30a,marg,9.7,literature,15.5,9.41,10.40
he2-10,H40a,marg,8.2,literature,34.5,9.25,9.74
ngc253,H40a,det,3.5,literature,5.2,9.25,10.35
ngc4945,H30a,det,3.6,literature,2.2,8.76,10.31
ngc4826,H30a,ul,5.0,literature,18.2,8.75,9.97
ngc5253,H30a,ul,3.5,literature,36.3,8.71,9.32
ngc5643,H30a,ul,10.4,literature,4.5,8.64,10.55
ngc3227,H30a,ul,15.2,literature,3.5,8.44,11.25
ngc5248,H30a,ul,11.8,literature,1.4,8.20,10.63
ngc1377,H30a,ul,21.0,literature,0.9,7.98,10.76
ngc5408,H30a,ul,4.9,literature,10.4,7.35,8.79
