galaxy,strong_line,strong_kind,beam_arcsec,nbeam,n_islands_raw,n_islands_kept,mask_npix,fov_frac,seed_ok,flag_extended,flag_no_seed,class_suggestion,note,final_class
ngc253,CS21,pbcor+pbmult,1.032,417.1,28,1,15320,0.0636,True,False,False,A,,A
ngc4826,CO21,nonpbcor,6.421,6.1,6,1,211,0.0765,True,False,False,A,,A
eso097-013,CS21,nonpbcor,2.585,79.1,17,2,2523,0.0895,True,False,False,A,,A
ngc7130,CO21,nonpbcor,0.484,151.0,26,2,4744,0.0317,True,False,False,A,,A
ngc4569,CO21,nonpbcor,1.25,87.5,1,1,3121,0.1228,True,False,False,A,,A
ngc4945,CO21,nonpbcor,0.569,266.8,4,1,9525,0.0539,True,False,False,A,,A
he2-10,CS21,nonpbcor,2.226,22.7,43,1,1120,0.0151,True,False,False,A,,A
ngc3628,CO21,nonpbcor,1.533,120.2,3,1,5895,0.169,True,False,False,A,,A
ngc1386,CO21,nonpbcor,0.49,332.6,87,7,11277,0.0461,True,False,False,A,,A
ngc6810,CO21,nonpbcor,0.72,448.1,21,1,23372,0.084,True,False,False,A,,A
ngc5253,CO21,nonpbcor,1.541,65.1,11,1,3986,0.0679,True,False,False,A,,A
irasf18293-3413,CO21,nonpbcor,0.271,478.0,49,1,14768,0.0317,True,False,False,A,,A
ic5063,CO21,nonpbcor,0.502,136.2,162,3,6249,0.0144,True,False,False,A,,A
ngc5728,CO21,nonpbcor,0.562,173.3,21,1,7596,0.047,True,False,False,A,,A
ngc7465,HCO+10,nonpbcor,1.415,7.7,181,1,375,0.0018,True,False,False,A,,A
ngc5408,CO21,nonpbcor,0.699,17.9,114,4,677,0.0073,True,False,False,A,,A
ic5179,CO21,nonpbcor,0.341,415.0,65,5,15181,0.04,True,False,False,A,,A
ngc1377,CO21,nonpbcor,0.046,310.9,686,1,6123,0.0058,True,False,False,A,,A-domain-flagged
ngc5643,CO21,nonpbcor,0.193,935.6,115,1,42510,0.0216,True,False,False,A,,A
ngc5248,CO21,nonpbcor,0.304,256.0,65,2,10688,0.0218,True,False,False,A,,A
ngc3227,CO21,nonpbcor,0.147,1171.2,255,2,45943,0.0162,True,False,False,A,,A
ngc7582,CO21,nonpbcor,0.161,531.9,85,2,38374,0.011,True,False,False,A,,A
ic4687,CO21,nonpbcor,0.344,136.7,133,6,5888,0.0122,True,False,False,A,,A
ngc5236,CO21,nonpbcor,1.831,1773.4,128,30,109548,0.1229,True,False,False,A,,B-mosaic
ngc7172,CO21,nonpbcor,0.135,742.2,260,1,30224,0.0106,True,False,False,A,,A
ngc5135,CO21,nonpbcor,0.254,473.2,75,1,21595,0.0229,True,False,False,A,,A
ngc1313,CO21,nonpbcor,0.61,404.3,1761,17,12248,0.0069,True,False,False,A,,B-mosaic
ngc7793,CO21,nonpbcor,0.625,795.6,2232,46,30186,0.0105,True,False,False,A,,B-mosaic
iras17208-0014,CO21,nonpbcor,0.119,909.6,627,9,41350,0.0087,True,False,False,A,,A
ngc2903,CO21,nonpbcor,0.089,0.0,354,0,0,0.0,False,False,True,review-no-seed,,excluded-no-seed-out-of-domain
ngc3627,CO21,nonpbcor,0.705,2118.8,261,24,67619,0.0562,True,False,False,A,,B-mosaic
irasf19297-0406,CO21,pbcor+pbmult,7.822,4.8,7,1,198,0.0727,True,False,False,A,,A
ngc2369,CO21,pbcor+pbmult,1.014,103.8,4,1,3416,0.0965,True,False,False,A,,A
irasf05189-2524,CO21,pbcor+pbmult,0.64,99.4,45,4,3938,0.0323,True,False,False,A,,A
ngc3256,HCO+10,pbcor+pbmult,0.76,118.3,305,2,4429,0.0084,True,False,False,A,,A
ngc1808,CS21,pbcor+pbmult,2.626,61.2,25,1,3061,0.047,True,False,False,A,,A
iras09022-3615,CO21,pbcor+pbmult,0.404,177.0,25,1,6353,0.0233,True,False,False,A,,A
irasf14378-3651,CO21,pbcor+pbmult,0.487,103.0,69,3,5073,0.0147,True,False,False,A,,A
ngc55,CS21,pbcor+pbmult,0.802,0.0,469,0,0,0.0,False,False,True,review-no-seed,,excluded-user-2026-08-05
iras07251-0248,CO21,pbcor+pbmult,0.35,127.5,174,3,6537,0.0109,True,False,False,A,,A
irasf12112+0305,CO21,pbcor+pbmult,0.337,236.9,71,4,9407,0.019,True,False,False,A,,A
ngc7469,CS21,pbcor+pbmult,0.609,30.1,724,1,1458,0.0016,True,False,False,A,,A
irasf14348-1447,CO21,pbcor+pbmult,0.319,144.7,73,2,6000,0.0105,True,False,False,A,,A
ngc5128,CS21,pbcor+pbmult,0.69,29.4,313,2,1151,0.0022,True,False,False,A,,A
iras19542+1110,CO21,pbcor+pbmult,0.446,144.9,144,9,5898,0.0209,True,False,False,A,,A
