galaxy,hrl_line,strong_line,final_class,W20_raw,W_used,v_cen,nbeam,n_islands,F,sigma_F,SN,verdict,F_skirt,SN_skirt,null_mean,null_std,n_nulls,coherent,note
ngc253,H40a,CS21,A,264.7,264.7,5.7,417.1,1,4.4389,0.1483,29.93,detection,-0.1234,-4.94,-0.5259,0.7477,16,True,
ngc4826,H30a,CO21,A,302.7,302.7,12.0,6.1,1,1.9567,0.4738,4.13,detection,-0.1533,-1.63,-3.4962,6.4124,7,True,
irasf19297-0406,H30a,CO21,A,499.2,499.2,-91.5,4.8,1,1.4381,0.5966,2.41,upper-limit,-0.0173,-0.22,-0.0292,2.8048,7,True,
eso097-013,H40a,CS21,A,299.2,299.2,-2.3,79.1,2,0.4928,0.0952,5.17,detection,-0.0137,-0.4,-0.0034,0.2433,16,True,
ngc2369,H30a,CO21,A,503.2,503.2,-7.1,103.8,1,-1.5092,0.5042,-2.99,upper-limit,-0.3537,-1.24,-0.0204,1.2543,16,True,
ngc7130,H30a,CO21,A,160.0,160.0,22.2,151.0,2,-0.0933,0.1868,-0.5,upper-limit,0.0031,0.04,0.0243,0.3065,16,True,
ngc4569,H30a,CO21,A,305.8,305.8,6.2,87.5,1,-0.3981,0.1706,-2.33,upper-limit,0.0807,1.6,-0.0071,1.0765,16,True,
ngc4945,H30a,CO21,A,386.8,386.8,-36.2,266.8,1,8.6669,0.565,15.34,detection,0.1406,0.49,0.0939,2.1085,16,True,
he2-10,H40a,CS21,A,77.9,100.0,-21.9,22.7,1,0.1931,0.0351,5.5,detection,0.013,0.96,0.0438,0.2011,16,True,
ngc3628,H30a,CO21,A,327.3,327.3,13.9,120.2,1,1.5165,0.22,6.89,detection,-0.041,-0.36,-0.6475,0.2433,13,True,
ngc1386,H30a,CO21,A,305.7,305.7,-29.1,332.6,7,0.2627,0.4425,0.59,upper-limit,0.3199,1.3,0.2601,1.0021,16,True,
ngc6810,H30a,CO21,A,337.6,337.6,1.9,448.1,1,0.2683,0.3919,0.68,upper-limit,0.0614,0.3,0.2364,0.5519,16,True,
irasf05189-2524,H30a,CO21,A,294.0,294.0,3.3,99.4,4,0.8306,0.4146,2.0,upper-limit,0.2226,1.12,0.195,0.5109,16,True,
ngc3256,H40a,HCO+10,A,185.5,185.5,24.5,118.3,2,0.2685,0.1112,2.42,upper-limit,-0.0062,-0.14,0.0323,0.3233,16,True,
ngc5253,H30a,CO21,A,76.3,100.0,-14.8,65.1,1,0.4914,0.2126,2.31,upper-limit,0.1662,1.55,-0.0071,0.5482,10,True,
irasf18293-3413,H30a,CO21,A,377.6,377.6,24.5,478.0,1,-0.1718,0.3843,-0.45,upper-limit,-0.016,-0.07,-0.2591,0.6522,16,True,
ic5063,H30a,CO21,A,421.3,421.3,-43.9,136.2,3,0.1726,0.4845,0.36,upper-limit,-0.0002,-0.0,-0.0823,0.4614,16,True,
ngc5728,H30a,CO21,A,320.4,320.4,-12.7,173.3,1,-0.2178,0.2112,-1.03,upper-limit,-0.1141,-1.4,-0.7619,1.5888,16,True,
ngc1808,H40a,CS21,A,347.8,347.8,-39.3,61.2,1,0.0957,0.1104,0.87,upper-limit,-0.1174,-2.39,-0.228,0.6069,16,True,
ngc7465,H40a,HCO+10,A,317.2,317.2,9.3,7.7,1,0.006,0.0295,0.2,upper-limit,0.0033,0.23,0.004,0.1207,16,True,
ngc5408,H30a,CO21,A,33.1,100.0,-2.0,17.9,4,0.0643,0.0328,1.96,upper-limit,-0.0004,-0.03,0.0053,0.026,16,True,
iras09022-3615,H30a,CO21,A,597.5,597.5,-21.0,177.0,1,-0.2286,0.3697,-0.62,upper-limit,0.09,0.54,0.0846,0.8986,16,True,
iras19542+1110,H30a,CO21,A,421.1,421.1,-82.4,144.9,9,0.216,0.627,0.34,upper-limit,-0.2763,-0.86,,,0,True,
irasf14378-3651,H30a,CO21,A,317.4,317.4,-13.0,103.0,3,1.2805,0.6567,1.95,upper-limit,0.3669,1.69,-0.1434,1.1438,16,True,
ic5179,H30a,CO21,A,313.4,313.4,-5.9,415.0,5,-0.0167,0.4763,-0.04,upper-limit,-0.0667,-0.26,-0.3456,0.656,16,True,
iras07251-0248,H30a,CO21,A,535.9,535.9,34.0,127.5,3,0.316,0.2722,1.16,upper-limit,0.2972,2.39,0.1618,0.8072,16,True,
ngc1377,H30a,CO21,A-domain-flagged,135.4,135.4,-53.4,310.9,1,0.1916,0.1647,1.16,upper-limit,-0.0239,-0.28,-0.0107,0.1979,16,True,
ngc5643,H30a,CO21,A,168.3,168.3,-2.3,935.6,1,-0.1067,0.409,-0.26,upper-limit,-0.4105,-1.16,-0.0764,0.881,16,True,
ngc5248,H30a,CO21,A,147.9,147.9,2.8,256.0,2,-0.7307,0.3902,-1.87,upper-limit,-1.2675,-4.1,-0.1989,1.0877,16,True,
irasf12112+0305,H30a,CO21,A,517.7,517.7,51.5,236.9,4,-0.3041,0.4037,-0.75,upper-limit,0.1431,0.49,-0.0151,0.4488,16,True,
ngc7469,H40a,CS21,A,315.8,315.8,9.0,30.1,1,0.1368,0.0642,2.13,upper-limit,0.0648,1.46,0.0141,0.1809,16,True,
irasf14348-1447,H30a,CO21,A,404.2,404.2,37.6,144.7,2,0.0249,0.1356,0.18,upper-limit,0.0585,0.85,0.0808,0.5048,16,True,
ngc5128,,,A,,,,29.4,2,,,,review,,,,,,False,"W20 pinned at ±600 bound (cap 600, line-stop 2991) — tracer too weak/broad"
ngc3227,H30a,CO21,A,316.1,316.1,5.8,1171.2,2,-1.697,0.9787,-1.73,upper-limit,0.0269,0.04,0.5683,1.9198,16,True,
ngc7582,H30a,CO21,A,378.0,378.0,-11.9,531.9,2,0.5103,0.3371,1.51,upper-limit,0.4431,1.79,-0.1146,0.8637,16,True,
ic4687,H30a,CO21,A,287.5,287.5,13.7,136.7,6,0.2084,0.1209,1.72,upper-limit,0.0879,1.78,0.428,1.2836,16,True,
ngc7172,H30a,CO21,A,622.6,622.6,11.5,742.2,1,0.3978,0.377,1.06,upper-limit,0.2726,1.34,-0.0083,1.4137,16,True,
ngc5135,H30a,CO21,A,175.1,175.1,3.4,473.2,1,0.0527,0.134,0.39,upper-limit,0.0309,0.42,0.0968,0.4969,16,True,
iras17208-0014,H30a,CO21,A,641.0,641.0,-13.0,909.6,9,4.0282,1.7665,2.28,upper-limit,1.8827,1.25,0.6229,3.2107,16,True,
