galaxy,final_class,ra,dec,band_freq_ghz,pb_fwhm_arcsec,mapped_diam_arcsec,w3_R50,w3_R90,w4_R50,w4_R90,w4_unresolved,frac_in_pb_w4,cov_corr,band_used,coverage,cog_flag,iras_f12,iras_f25,iras_f60,iras_f100,D_Mpc_cz,dist_flag,logL_TIR_Lsun,SFR_TIR,note,iras_src
eso097-013,A,213.29127,-65.33902,97.58,59.7,89.1,50.5,201.6,26.5,139.3,False,0.559,0.708,w4,partial,CoG-not-converged,18.8,68.4,249.0,316.0,6.2,cz/H0-provisional,10.53,5.04,,PSC/FSC
he2-10,A,129.06329,-26.40935,96.91,60.1,89.2,11.7,62.1,17.4,79.8,True,0.763,0.963,w4,covered-unresolved,,1.09,6.51,24.1,26.4,12.5,cz/H0-provisional,10.08,1.78,,PSC/FSC
ic4687,A,273.41596,-57.72535,225.51,25.8,38.5,21.7,100.8,26.7,99.9,False,0.217,0.576,w4,partial,,0.66,2.19,15.2,27.1,74.3,cz/H0-provisional,11.43,39.99,,PSC/FSC
ic5063,A,313.00665,-57.06747,227.06,25.6,46.9,13.1,59.5,18.1,70.6,True,0.312,0.838,w4,covered-unresolved,,1.110,3.940,5.870,4.250,48.6,cz/H0-provisional,10.87,10.95,,RBGS
ic5179,A,334.03787,-36.84376,227.0,25.7,38.2,19.3,160.9,21.1,102.7,True,0.262,0.703,w4,covered-unresolved,,1.180,2.400,19.390,37.290,48.8,cz/H0-provisional,11.18,22.73,,RBGS
iras17208-0014,A,260.84143,-0.2836,220.13,26.5,39.4,12.7,128.7,17.2,86.9,True,0.373,0.961,w4,covered-unresolved,,0.200,1.610,32.130,36.080,183.3,cz/H0-provisional,12.41,382.11,,RBGS
irasf18293-3413,A,278.17157,-34.19096,226.04,25.8,38.5,11.3,108.8,17.2,80.2,True,0.366,0.977,w4,covered-unresolved,,1.140,3.980,35.710,53.380,77.8,cz/H0-provisional,11.79,91.56,,RBGS
ngc1313,B-mosaic,49.55992,-66.49829,229.25,25.4,164.8,161.4,421.3,126.1,342.4,False,0.01,0.026,w4,partial,CoG-not-converged,0.890,2.480,30.710,63.140,6.7,cz/H0-provisional,9.21,0.24,,RBGS
ngc1377,A-domain-flagged,54.16281,-20.90196,228.76,25.5,11.6,10.7,119.8,16.8,76.1,True,0.36,0.976,w4,covered-unresolved,,0.560,1.930,7.430,5.950,25.6,cz/H0-provisional,10.17,2.2,,RBGS
ngc1386,A,54.19187,-36.00027,228.97,25.4,47.5,11.8,67.6,17.6,83.4,True,0.327,0.887,w4,covered-unresolved,,0.520,1.460,5.920,9.550,13.1,cz/H0-provisional,9.58,0.56,,RBGS
ngc253,A,11.88867,-25.28824,97.41,59.8,88.6,100.7,227.4,56.2,195.3,False,0.347,0.439,w4,partial,CoG-not-converged,41.040,154.670,967.810,1288.150,3.4,cz/H0-provisional,10.41,3.81,,RBGS
ngc2903,excluded-no-seed-out-of-domain,143.04213,21.50083,229.18,25.4,34.7,62.9,138.5,55.6,129.2,False,0.132,0.358,w4,partial,,5.290,8.640,60.540,130.430,7.7,cz/H0-provisional,9.83,1.0,,RBGS
ngc3227,A,155.87738,19.86508,228.72,25.5,38.0,23.4,129.2,19.9,107.8,True,0.315,0.854,w4,covered-unresolved,,0.940,1.830,8.420,17.300,16.1,cz/H0-provisional,9.91,1.22,,RBGS
ngc3627,B-mosaic,170.06142,12.99406,229.61,25.4,148.5,63.9,160.2,63.9,150.3,False,0.032,0.087,w4,partial,,4.820,8.550,66.310,136.560,10.3,cz/H0-provisional,10.1,1.86,,RBGS
