name,ra,dec,z,f60_Jy,status,hrl_line,tracer,F_Jykms,sigma_F,SN,W_kms,mask_area_beams,mask_area_arcsec2,rms_chan_mJy,rms10_mJy,rms10_pred_mJy,ir_R90_arcsec,ir_size_source,coverage,best_res_arcsec,est_size_GB,next_step
ngc253,11.88867,-25.28824,0.00080,967.81,measured-detected,H40a,CS21,4.4389,0.1483,29.93,264.7,417.1,392.2,7.436,2.882,,195.3,WISE W4 CoG (SB-truncated),partial,,,done
ngc4945,196.36367,-49.46789,0.00188,625.46,measured-detected,H30a,CO21,8.6669,0.565,15.34,386.8,266.8,93.3,9.019,9.085,,252.7,WISE W4 CoG (SB-truncated),partial,,,done
eso097-013,213.29127,-65.33902,0.001448,,measured-marginal,H40a,CS21,0.4928,0.0952,5.17,299.2,79.1,557.6,1.589,1.74,,139.3,WISE W4 CoG (SB-truncated),partial,,,adjudicated — done
he2-10,129.06329,-26.40935,0.002912,,measured-marginal,H40a,CS21,0.1931,0.0351,5.5,100.0,22.7,94.2,1.428,1.11,,79.8,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,adjudicated — done
ngc3628,170.07041,13.59166,0.002772,54.8,measured-marginal,H30a,CO21,1.5165,0.22,6.89,327.3,120.2,175.7,10.797,3.845,,203.8,WISE W3 CoG (SB-truncated),partial,,,adjudicated — done
ic4687,273.41596,-57.72535,0.017345,20.2,measured-upper-limit,H30a,CO21,0.2084,0.1209,1.72,287.5,136.7,13.9,1.572,2.255,,99.9,WISE W4 CoG (SB-truncated),partial,,,done
ic5063,313.00665,-57.06747,0.011348,5.87,measured-upper-limit,H30a,CO21,0.1726,0.4845,0.36,421.3,136.2,24.3,7.376,7.464,,70.6,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ic5179,334.03787,-36.84376,0.011405,19.39,measured-upper-limit,H30a,CO21,-0.0167,0.4763,-0.04,313.4,415.0,46.5,11.893,8.508,,102.7,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
iras07251-0248,111.90642,-2.91539,0.08758,6.49,measured-upper-limit,H30a,CO21,0.316,0.2722,1.16,535.9,127.5,11.7,5.013,3.718,,33.6,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
iras09022-3615,136.05287,-36.45021,0.05964,11.64,measured-upper-limit,H30a,CO21,-0.2286,0.3697,-0.62,597.5,177.0,31.0,6.531,4.783,,30.3,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
iras17208-0014,260.84143,-0.2836,0.04281,32.13,measured-upper-limit,H30a,CO21,4.0282,1.7665,2.28,641.0,909.6,10.5,21.477,22.064,,86.9,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
iras19542+1110,299.14917,11.31806,0.06283,6.18,measured-upper-limit,H30a,CO21,0.216,0.627,0.34,421.1,144.9,28.2,13.175,9.662,,37.4,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
irasf05189-2524,80.25571,-25.36251,0.04275,13.25,measured-upper-limit,H30a,CO21,0.8306,0.4146,2.0,294.0,99.4,38.4,10.527,7.646,,67.7,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
irasf12112+0305,183.44199,2.81153,0.07268,8.18,measured-upper-limit,H30a,CO21,-0.3041,0.4037,-0.75,517.7,236.9,24.5,15.292,5.611,,249.5,WISE W4 CoG (SB-truncated),partial,,,done
irasf14348-1447,219.40965,-15.00666,0.08247,6.82,measured-upper-limit,H30a,CO21,0.0249,0.1356,0.18,404.2,144.7,14.2,5.787,2.133,,37.4,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
irasf14378-3651,220.2459,-37.07562,0.06819,6.72,measured-upper-limit,H30a,CO21,1.2805,0.6567,1.95,317.4,103.0,19.9,15.855,11.656,,56.4,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
irasf18293-3413,278.17157,-34.19096,0.018176,35.71,measured-upper-limit,H30a,CO21,-0.1718,0.3843,-0.45,377.6,478.0,40.0,6.154,6.254,,80.2,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
irasf19297-0406,293.09294,-4.00034,0.08573,7.32,measured-upper-limit,H30a,CO21,1.4381,0.5966,2.41,499.2,4.8,283.8,22.773,8.444,,288.3,WISE W3 CoG (SB-truncated),partial,,,done
ngc1377,54.16281,-20.90196,0.005977,7.43,measured-upper-limit,H30a,CO21,0.1916,0.1647,1.16,135.4,310.9,0.6,8.864,4.476,,76.1,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc1386,54.19187,-36.00027,0.003052,5.92,measured-upper-limit,H30a,CO21,0.2627,0.4425,0.59,305.7,332.6,75.8,7.94,8.003,,83.4,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc1808,76.92643,-37.51305,0.00334,105.55,measured-upper-limit,H40a,CS21,0.0957,0.1104,0.87,347.8,61.2,283.1,3.429,1.872,,93.0,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc2369,109.1573,-62.34375,0.0108,20.35,measured-upper-limit,H30a,CO21,-1.5092,0.5042,-2.99,503.2,103.8,109.5,9.939,7.108,,50.1,WISE W3 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc3227,155.87738,19.86508,0.003756,8.42,measured-upper-limit,H30a,CO21,-1.697,0.9787,-1.73,316.1,1171.2,17.3,24.405,17.408,,107.8,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc3256,156.96346,-43.90461,0.00928,102.63,measured-upper-limit,H40a,HCO+10,0.2685,0.1112,2.42,185.5,118.3,50.9,1.664,2.582,,81.1,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc4569,189.20757,13.16287,-0.000784,9.8,measured-upper-limit,H30a,CO21,-0.3981,0.1706,-2.33,305.8,87.5,135.3,2.17,3.085,,88.7,WISE W4 CoG (SB-truncated),partial,,,done
ngc4826,194.18207,21.68266,0.0014,36.7,measured-upper-limit,H30a,CO21,1.9567,0.4738,4.13,302.7,6.1,246.8,6.052,8.612,,87.3,WISE W4 CoG (SB-truncated),partial,,,done
ngc5135,201.43358,-29.83368,0.013693,16.86,measured-upper-limit,H30a,CO21,0.0527,0.134,0.39,175.1,473.2,22.9,2.234,3.202,,56.5,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc5248,204.38362,8.88506,0.003839,20.91,measured-upper-limit,H30a,CO21,-0.7307,0.3902,-1.87,147.9,256.0,24.0,7.121,10.146,,122.0,WISE W4 CoG (SB-truncated),partial,,,done
ngc5253,204.98466,-31.64144,0.0014,29.84,measured-upper-limit,H30a,CO21,0.4914,0.2126,2.31,100.0,65.1,108.2,18.871,6.723,,80.7,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc5408,210.83179,-41.38297,0.001682,,measured-upper-limit,H30a,CO21,0.0643,0.0328,1.96,100.0,17.9,8.0,2.914,1.037,,44.0,WISE W4 CoG (SB-truncated),partial,,,done
ngc5643,218.16991,-44.17461,0.003999,23.48,measured-upper-limit,H30a,CO21,-0.1067,0.409,-0.26,168.3,935.6,25.1,13.976,9.97,,95.9,WISE W4 CoG (SB-truncated),partial,,,done
ngc5728,220.5997,-17.25317,0.009186,8.88,measured-upper-limit,H30a,CO21,-0.2178,0.2112,-1.03,320.4,173.3,53.9,2.621,3.731,,121.6,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc6810,295.89135,-58.65565,0.006775,18.2,measured-upper-limit,H30a,CO21,0.2683,0.3919,0.68,337.6,448.1,146.8,6.68,6.745,,96.2,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc7130,327.08121,-34.95131,0.016151,16.71,measured-upper-limit,H30a,CO21,-0.0933,0.1868,-0.5,160.0,151.0,40.8,4.6,4.67,,88.8,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc7172,330.5079,-31.86989,0.008726,5.76,measured-upper-limit,H30a,CO21,0.3978,0.377,1.06,622.6,742.2,11.1,4.73,4.778,,54.6,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc7465,345.50397,15.96487,0.006538,5.47,measured-upper-limit,H40a,HCO+10,0.006,0.0295,0.2,317.2,7.7,11.2,0.676,0.524,,157.1,WISE W4 CoG (SB-truncated),partial,,,done
ngc7469,345.81516,8.87384,0.01642,27.33,measured-upper-limit,H40a,CS21,0.1368,0.0642,2.13,315.8,30.1,9.7,1.468,1.142,,87.6,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc7582,349.59842,-42.37057,0.00541,52.2,measured-upper-limit,H30a,CO21,0.5103,0.3371,1.51,378.0,531.9,11.6,7.681,5.483,,90.0,WISE W4 CoG — unresolved (≤ Atlas PSF),covered-unresolved,,,done
ngc5128,201.36506,-43.01911,0.00187,213.29,review,,CS21,nan,nan,nan,nan,29.4,13.9,,,,163.5,WISE W4 CoG (SB-truncated),partial,,,"user review: W20 pinned at ±600 bound (cap 600, line-stop 2991) — tracer "
ngc1313,49.55992,-66.49829,0.001568,30.71,B-mosaic,,CO21,,,,,,,,,,,,partial,,,methodology-chapter exemplar only
ngc3627,170.06142,12.99406,0.0024,66.31,B-mosaic,,CO21,,,,,,,,,,,,partial,,,methodology-chapter exemplar only
ngc5236,204.25231,-29.86556,0.0017,265.84,B-mosaic,,CO21,,,,,,,,,,,,partial,,,methodology-chapter exemplar only
ngc7793,359.44866,-32.58921,0.000749,18.14,B-mosaic,,CO21,,,,,,,,,,,,partial,,,methodology-chapter exemplar only
NGC 6814,295.66,-10.32444,0.0052,6.53,excluded (line out of band at true z),H40a,CS21+HCN10+HCO+10,,,,,,,,,0.446,,,,0.308,nan,needs different archival data (wave-1 spws miss the line at true z)
NGC 7552,349.03958,-42.58583,0.00529,77.37,excluded (line out of band at true z),H40a,CS21+HCN10+HCO+10,,,,,,,,,0.476,,,,0.111,nan,needs different archival data (wave-1 spws miss the line at true z)
ngc2903,143.04213,21.50083,0.0018,60.54,excluded (user),,CO21,,,,,,,,,,,,partial,,,closed — see decisions.md
ngc55,3.75167,-39.20972,0.00042,77.0,excluded (user),,CS21,,,,,,,,,,,,partial,,,closed — see decisions.md
CGCG 049-057,228.30292,7.225,0.01299,21.89,candidate,H40a,CS21,,,,,,,,,0.761,,,,0.048,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
CGCG 436-030,20.00583,14.35972,0.03141,10.71,candidate,H30a,CO21,,,,,,,,,0.662,,,,0.163,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
CGCG 448-020,314.34708,17.12611,0.03606,12.65,candidate,H30a,CO21,,,,,,,,,0.5,,,,0.223,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
CGCG 453-062,346.23,19.55028,0.0251,7.19,candidate,H30a,CO21,,,,,,,,,6.274,,,,6.368,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
CGCG 468-002,77.08917,17.36778,0.01679,9.66,candidate,H30a,CO21,,,,,,,,,0.571,,,,0.119,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 148-IG002,348.94417,-59.05389,0.04471,10.94,candidate,H30a,CO21,,,,,,,,,4.641,,,,4.681,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
